Punkte,Segment,Bedürfnis,Idee,M,Z,S,W,V,K,D
82,Lernende,Lehrabschlussprüfung bestehen,QV-Prüfungstrainer je Beruf,4,4,5,3,4,5,4
81,Mieter,früher aus dem Mietvertrag ohne doppelte Miete,Nachmieter-Lotse OR 264,3,4,5,3,5,5,4
80,Weiterbildung,eidg. Fachausweis/Diplom bestehen,Prüfungstrainer Höhere Berufsbildung,3,5,5,2,4,5,4
80,Weiterbildung,"Prüfung Sachbearbeitung/HR/Marketing (edupool, KV)",Prüfungstrainer KV-Weiterbildung,3,5,5,3,3,5,4
79,Todesfall,Alles erledigen nach einem Todesfall,Nachlass-Lotse,3,4,5,3,4,5,4
79,Weiterbildung,Prüfung Technische Kaufleute bestehen,Prüfungstrainer TK,2,5,5,4,3,5,4
79,Weiterbildung,Treuhand-Fachausweis,Prüfungstrainer Treuhand,2,5,5,4,3,5,4
78,Steuern,"Steuern optimieren (3a, Einkauf PK)",Steuer-Optimierer,4,4,5,2,3,5,4
78,Bewirtschafter,Prüfung eidg. Fachausweis Immobilienbewirtschaftung bestehen,Prüfungstrainer Immobilien,1,5,5,3,5,5,4
76,Familie,Übertritt Sek/Gymi vorbereiten,Gymi-Prüfungstrainer,3,4,5,2,4,5,4
76,Steuern,Quellensteuer zurückholen (NOV),Quellensteuer-Lotse,3,4,5,2,4,5,4
76,Finanzen,Erbe erhalten: was tun?,Erbschafts-Lotse,3,4,5,3,3,5,4
75,Steuern,Steuererklärung schnell ausfüllen,KI-Steuerhelfer,5,3,5,1,3,5,4
75,Weiterbildung,Sprachzertifikat für Einbürgerung (fide),fide-Trainer,2,4,5,3,4,5,4
74,Eigenheim,Unterhalt bis Ende 2028 steuerlich nutzen,Eigenmietwert-Planer,3,4,5,2,3,5,4
74,Berufswahl,"Eignungstest bestehen (Multicheck, Basic-Check)",Eignungstest-Trainer,3,4,5,1,4,5,4
74,Lernende,Berufsschulstoff verstehen,KI-Tutor Berufsschule (ABU),4,3,5,2,4,5,3
74,Einbürgerung,Einbürgerungstest bestehen,Einbürgerungs-Trainer je Gemeinde,3,4,5,1,4,5,4
72,Eigenheim,Liegenschaft verkaufen ohne Makler,Privatverkauf-Assistent,4,4,4,2,3,5,3
72,Vorsorge,Kapital oder Rente bei Pensionierung,Pensionierungsplaner,4,4,4,2,3,5,3
72,Gesundheit,Arztrechnung nach neuem Tarif TARDOC prüfen,Rechnungs-Check TARDOC,3,3,5,4,4,4,3
72,Trennung,Unterhalt und Scheidung berechnen,Unterhaltsrechner,2,4,5,3,3,5,4
71,Familie,Hausaufgaben begleiten nach Lehrplan 21,KI-Lernbegleiter LP21,4,3,5,2,3,5,3
71,Gesundheit,Therapeut:in (Psychotherapie) mit Platz finden,Therapieplatz-Finder,3,4,4,3,2,5,4
71,Pflege,Pflegeheim finden und finanzieren,Pflege-Finanzierungs-Lotse,3,4,4,3,3,5,3
71,KMU,Anrufe nicht verpassen,KI-Telefonassistent Mundart,5,4,3,1,4,4,3
71,KMU,Sitzungen protokollieren (Mundart),Mundart-Protokoll,4,3,5,1,4,5,3
71,Bau,Baubewilligung verstehen,Baugesuch-Assistent,3,4,4,3,3,5,3
71,Recht,Rechtsfrage schnell klären,KI-Rechtsauskunft CH,4,3,5,2,3,4,4
71,Bewirtschafter,Mieterbriefe schnell und korrekt,Vorlagen-KI Bewirtschaftung,2,3,5,3,5,5,3
70,Mieter,Bewerbung gegen 50 Mitbewerber gewinnen,Mietdossier mit Coach,3,3,5,1,4,5,4
70,STWE,Gemeinschaft ohne Verwalter führen,Selbstverwaltungs-Software,3,3,5,2,4,5,3
70,Gesundheit,Richtige Franchise und Modell wählen,Krankenkassen-Optimierer,5,3,5,1,2,3,5
70,Gesundheit,Zahnarztkosten vergleichen,Zahnkosten-Vergleich,3,3,5,3,2,5,4
70,Vorsorge-Dokumente,"Testament, Vorsorgeauftrag, Patientenverfügung",Vorsorgedokumente digital,3,3,5,2,3,5,4
70,Bau,Baukosten schätzen,Baukosten-Rechner,3,3,5,2,3,5,4
70,Ärzte,Dokumentation per Sprache (Mundart),Mundart-Arztbericht,4,4,3,2,4,4,3
70,Lehrpersonen,Unterricht nach LP21 vorbereiten,KI-Unterrichtsplaner LP21,3,3,5,2,3,5,4
69,Mieter,Mängel melden und Fristen kennen,Mängel-Assistent,2,3,5,3,4,5,3
69,STWE,Erneuerungsfonds richtig bemessen,Fonds-Planer,2,3,5,3,4,5,3
69,Familie,Kita-Platz und Subventionen finden,Kita-Finder mit Subventionsrechner,2,3,5,3,3,5,4
69,Angestellte,Arbeitszeugnis entschlüsseln,Zeugnis-Analyse,2,3,5,2,4,5,4
69,Grenzgänger,Steuern und Sozialversicherung korrekt,Grenzgänger-Assistent,2,3,5,3,4,5,3
69,Vorsorge,AHV-Lücken erkennen,AHV-Lücken-Check,2,3,5,3,4,5,3
